arg,verb,sentence,verb_idx,label
news,absorb,It had been long assumed that the agency would n't act until late on a Friday afternoon in order to give market participants a weekend to absorb the news .,26,1
loss,absorb,"With its strength in the Old South , the Rocky Mountain and northern plains states and such dependable GOP bastions as Indiana , the party can absorb some losses and still accumulate close to 200 electoral votes .",26,1
loss,absorb,The FDIC staff also noted that Wells Fargo would have given the agency no control over the selection and management of bad loans for which the agency would have to absorb all losses .,30,1
inventory,absorb,"Its value depends on how quickly you can bring it to market , and there are problems like zoning and water and the ability of the market to absorb inventory . ''",28,1
employee,absorb,He added that employees who do n't move to the rival 's factory in Chicago probably will be absorbed by Bally 's growing fitness-equipment manufacturing businesses .,18,1
worker,absorb,"It is the growth of the Hidden Economy -- these millions of small , private businesses -- that cushions the shock of a crashing Dow , that absorbs the workers cut loose by big firms when they restructure and that created most of those 17 million jobs .",27,1
market,absorb,"`` The market is absorbing all of the mill 's output of supercalender paper , '' Mr. Nugent said .",5,1
body,absorb,Longtime American expatriates here like to recall what happened in the 1970s when Japan easily absorbed the same heavy body blows from the organization of Petroleum Exporting Countries that bring other developed nations to their knees .,15,1
accord,absorb,An early new accord would absorb the existing one .,5,1
cost,absorb,"GM ca n't continue to absorb indefinitely the large fixed costs represented by unused capacity , he says .",5,1
increase,absorb,"`` It is actually easier for this market to absorb small increases for the yen -LRB- against the dollar -RRB- , '' Mr. Nakaharu said , `` although of course a sudden fall for the dollar would be a problem . ''",10,1
work,absorb,"With its large stock of sober , muscular buildings , Chicago has been able to absorb Mr. Jahn 's work ; there , Xerox Centre 's sweeping curve of white metal and reflective glass , or One South Wacker 's long grids of pale pink and pale blue glass can seem like light relief . -LRB- For similar reasons , his recent Chryslerlike blue-glass tower can be accommodated in downtown Philadelphia -RRB- .",15,1
majority,absorb,It said it expects to absorb `` the vast majority '' of those jobs in its private health-care business .,5,1
thrift,absorb,"First Federal was then to absorb several other troubled thrifts in federally assisted mergers , as part of the Federal Savings and Loan Insurance Corp. 's so-called Southwest Plan to rescue the many ailing savings and loans based in the region .",5,1
shortfall,absorb,"The pension agency , which had briefly absorbed LTV 's $ 2 billion pension shortfall , subsequently returned responsibility for the plans to the steelmaker .",7,1
community,absorb,"Districts jump back and forth over mountain ranges , cross large bodies of water , send out little tentacles to absorb special communities and ensure safe seats . ''",20,1
taxis,absorb,But he said Cigna 's after-tax gain wo n't be material because the company will absorb certain deferred taxes of the division .,17,1
loss,absorb,Reserving enables banks to absorb losses on bad credits .,4,1
reserve,absorb,"Mr. Thunberg of Ried Thunberg said the Fed has `` aggressively '' absorbed reserves over each of the past three days , creating some confusion about its intentions .",13,1
technologies,absorb,"Under the proposed merger , Wheelabrator Technologies will absorb Waste Management 's Tampa , Fla . , incinerator and three other waste-to-energy projects the company has under development in Broward County , Fla . ; Dakota County , Minn . ; and Falls Township , Pa .",8,1
loss,absorb,Equity capital is the clearest picture of a bank 's net worth and its ability to absorb additional losses .,16,1
balance,absorb,"If the latest auditors ' recommendation is adopted , Illinois Power could add $ 1.84 billion to its rate base , but apparently would have to absorb the balance .",26,1
cost,absorb,This cost has been absorbed by me in the hope that the FDA would reward my efforts with its favor .,4,1
debt,absorb,"For Koppers , selling off part of its construction-materials business is seen as crucial , because no matter how it decides to improve upon Beazer 's bid , it is likely to absorb considerable debt .",34,1
pressure,absorb,-- Futures dealers on the floors of the various exchanges `` absorbed some selling pressure '' but they were n't `` able to counterbalance the public selling pressure . '',12,1
side,assault,The bill admits that the key to winning the drug war is assaulting the demand side .,12,1
audience,assault,Sound is not the only thing with which the audience is assaulted at `` Chess . '',11,1
constitutionality,attack,"Then two industry trade groups sued the state , attacking the lemon law 's constitutionality .",9,1
subject,attack,"And so it is on the grounds of insufficient candor that the resourceful Mr. Goldman , hot to debunk , attacks his subject .",20,1
competition,attack,"The approach is raising eyebrows in the cigarette industry , which generally refrains from attacking the competition by name .",14,1
program,attack,"On the stage , looking tired from ceaseless concertizing at just about every summer festival there is , Vladimir Feltsman attacked his recital program with typical confidence and power .",20,1
protein,target,"If so , human cells may also make similar proteins -- potentially confusing immune cells that target foreign stress proteins and inducing them to attack a person 's own cells .",16,1
cartilage,attack,"It turned out that a protein segment in cartilage is similar to the bacterial protein segment , which explained why the white cells also attacked the cartilage .",24,1
merit,attack,"In his previous handling of the case , Judge Brieant roundly attacked the merits of the Pennzoil judgment .",11,1
virus,attack,The virus attacked Argonne National Laboratory outside Chicago starting at 11:54 p.m. EST Wednesday and throughout the night .,2,1
insect,attack,The drought is spawning an explosion in the spider mite population by harming a plant fungus that attacks the tiny insects .,17,1
type,attack,They suggested that their genetic variability may affect the infectiousness of the virus and its `` preference '' for attacking one type of cell over another .,20,1
payment,attack,"Mr. Cardenas 's stunning success in this month 's presidential election , when he took close to a third of the vote and loosened the traditional stranglehold of the Institutional Revolutionary Party , or PRI , illustrated that attacking debt payments wins votes .",38,1
provision,attack,The dissident group plans to attack several provisions that block claimants ' ability to seek compensation from any source other than the special trust fund .,5,1
asset,attack,"`` We 're not attacking the core assets ; we 're looking at what we consider to be our less-profitable assets , '' the spokesman said .",5,1
presence,attack,Farmers also has questioned B.A.T 's ability to manage insurance operations and attacked its presence in South Africa .,12,1
prey,attack,"Mr. Schnittke is also a composer of extremes , and in the new Fourth Piano Sonata he has Mr. Feltsman achieving kinetic climaxes at the highest and lowest registers simultaneously , the pianist 's arms widely extended and lunging at the piano like a hawk attacking his prey .",45,1
panel,attack,He also attacked a House panel for disclosing at least three pending SEC inquiries .,2,1
firm,attack,"In addition , Mr. Joseph said , referring to the subcommittee 's questions about Beatrice , Texstyrene and one other junk-bond issue , by Hanover Petroleum Corp . , `` I do n't think it 's fair at all to attack the firm over two or three instances . ''",43,1
remark,attack,But international groups that attacked Mr. Jenninger 's remarks may find themselves among the losers .,4,1
administration,attack,"In Idaho last week , the Indiana conservative attacked the Carter administration for having shown an `` insensitivity to Western needs '' and having tried to `` cancel vital water projects . ''",8,1
economy,attack,"Labor unions , too , attack the underground economy .",5,1
governor,attack,Mr. Bush attacked the Massachusetts governor for vetoing a bill to require school teachers to lead pupils in the pledge of allegiance and for Massachusetts ' prisoner-furlough program .,2,1
product,attack,"The administration has been reluctant , for a number of reasons , to attack Tokyo on rice , historically Japan 's most sacrosanct product .",13,1
plan,attack,"Their plans were immediately attacked by the so-called social wing of the ruling Christian Democratic Union , which wanted more tax revenue to go to the poor .",4,1
proposal,attack,"Common Cause has attacked the Ways and Means Committee 's proposal to repeal the $ 3 , 000 limit on the deductibility of congressional living expenses in Washington , D.C .",3,1
financing,attack,"MINOR MEMOS: Texas Sen. Gramm , who last year bitterly attacked federal financing of a weed center in North Dakota , pushes to establish a `` plant stress '' lab in Lubbock . . . .",11,1
appeal,attack,Coke is even directly attacking coffee 's breakfast appeal with radio ads urging people to drink something cold to come `` alive in the morning . '',4,1
system,attack,"Outraged at the sentence , the black community mounted an international campaign attacking the country 's legal system .",12,1
problem,attack,"But critics complain that the blitz of big fines , which generally are settled for half or less of the proposed amount , was a bombastic gimmick that did little to attack the root problems of workplace illness and injury .",31,1
treatment,attack,An analogous appeal attacking similar treatment of future claims in the Manville case is pending before a federal appellate court in Manhattan .,3,1
effort,attack,"Meanwhile , the U.S. quietly tries to persuade former Israeli Defense Minister Sharon not to undercut Shamir by attacking the peace effort .",18,1
deficit,attack,"While proposing such cuts to attack the current deficit , Mr. Jackson is vague on how the expensive new social programs he proposes would pay for themselves .",5,1
accord,attack,"U.S. conservatives attacked the accord , but it helps clear the way for an upbeat superpower summit in Moscow at the end of May .",2,1
report,attack,"IBP attacked the report as not factual and full of innuendo and as `` egotistical '' grandstanding by the subcommittee chairman , Rep. Tom Lantos -LRB- D . , Calif. -RRB- .",1,1
proposal,attack,A Treasury official yesterday attacked Mr. Robinson 's proposal as `` clearly a commercial venture on the part of American Express '' and one that contains nothing new .,4,1
prosecutor,attack,"So Mr. Tribe of Justice will file a brief arguing for independent counsels ; Justice itself has filed briefs attacking these prosecutors , and both arguments are supposed to represent the view of the executive branch .",19,1
plan,attack,"Without the boost in the capital-gains rate , congressional liberals would have attacked the tax reform plan for leaning too far in favor of the rich .",14,1
contradiction,attack,"In hearings before Mr. Needelman last August , the lawyers attacked the seeming contradictions between the papers ' earlier upbeat statements and ambitious spending , and their more recent statements that the Free Press is failing .",10,1
statehouse,besiege,"For their part , though , Chicago aldermen have been too busy functioning as art critics to besiege the statehouse in Springfield on behalf of the team , and state legislators have shown more inclination to clown than to move quickly or positively .",17,1
park,besiege,The park has been besieged for nearly three months by dry weather and fires that have charred more than half its 2.2 million acres .,4,1
banner,besiege,"Ever since , Banner has been besieged by hundreds of thrill-seeking callers .",6,1
schools,besiege,"LAW SCHOOLS are besieged by applicants , after a five-year slump .",3,1
economy,cool,"A surprisingly strong October employment report , implying that the economy is n't cooling off as fast as many investors had hoped , could force a sharp retreat in stock prices today , he said .",13,1
economy,cool,"The last time China tried to cool its economy , in 1985 and 1986 , foreign exporters and investors suffered .",6,1
market,cool,Mr. Feldt insisted that the need to cool the high-flying capital markets -- and placate his party 's union supporters at a sensitive juncture in the election campaign -- outweighed the Riksbank 's arguments .,7,1
investor,bother,He thinks equity investors are bothered that short-term interest rates have n't eased despite the evidence of a cooling economy .,5,1
period,cool,The delay agreed to by the railroad and the United Transportation Union will give Congress a chance to take final action today on a bill reinstating a government-ordered cooling off period in the long-running labor dispute .,30,1
official,believe,"Some U.S. officials believe that in time emotions will cool , and necessity once more will draw Iran toward normalizing relations with the U.S .",3,1
fear,cool,"The sell-off cooled inflation fears , but farm futures prices are now expected to be volatile .",4,1
story,cool,"If the story has cooled , it is because Speaker Wright and the Democratic caucus pulled the plug at the right moment .",4,1
spending,cool,"Tighter credit could help narrow the trade deficit by cooling consumer spending , but high interest rates have bleaker implications for other areas , such as housing .",9,1
spree,cool,"The United Kingdom 's chancellor of the exchequer , Nigel Lawson , said the country has tightened its monetary policy to cool a consumer spending spree and bolster weak savings and investment levels .",21,1
complaint,cool,There is suspicion in U.S. industry and government that the latest effort is a political exercise to cool American complaints about subsidies and avert a trade war .,17,1
sentiment,cool,"The report cooled bullish sentiment brought about by a smaller Brazilian crop this year , analysts said .",2,1
enthusiasm,cool,Investor enthusiasm cooled considerably in the wake of reports that Lilco 's demand was a bargaining tactic aimed at getting its talks with the state back in high gear .,2,1
economy,cool,The Bank of England added that it is `` too early to be sure '' whether the British government 's recent efforts to cool down Britain 's overheated economy `` will prove sufficient to restore the economy to a sustainable path . '',24,1
move,design,"Observers said the surprise move , just before the four-day midautumn festival holiday , was designed to cool the stock market investment craze .",17,1
interest,cool,But Madison Avenue 's interest in Mr. Tyson is cooling because of the barrage of negative publicity about an alleged suicide attempt and his stormy marriage to actress Robin Givens .,9,1
economy,cool,"The rate increase by West Germany was a surprise , however , because some economists thought the Bundesbank would n't risk cooling its domestic economy .",21,1
economy,cool,Several analysts wondered if the rise was ordered to cool down an overheating economy or rather to present a clear signal to the market that British Chancellor of the Exchequer Nigel Lawson is in command of interest rate policy .,9,1
rally,cool,But profit-taking helped cool the rally .,5,1
guard,play,"While the 17 male supers who play guards and courtiers cool our heels , we are shoehorned into a room 15 feet square , reading newspapers and exchanging small talk .",6,1
fever,cool,Today 's slogan: `` The fever of war will not cool down while -LRB- Iraqi President -RRB- Saddam Hussein is in power . '',12,1
pressure,cool,"Yesterday 's half-point increase in base rates to 9.5 % is n't likely to be enough to cool inflationary pressures because it did n't trigger a rise in mortgage rates , said Gwyn Hacche , an economist at James Capel & Co . `` Mortgage rates are one of the main mechanisms by which a change in interest rates affects the demand for consumer credit , '' he said .",19,1
controversy,cool,"Trying to cool controversies fueled by his visit with dissidents and with Jews denied the opportunity to leave the Soviet Union , he suggested in his news conference that emigration restrictions were largely bureaucratic obstacles that he and the Soviet leader could jointly overcome .",2,1
troop,cool,"But , he said , armed troops loyal to the Panamanian dictator `` kind of cooled that down . ''",16,1
press,cool,When the Detroit Free Press cools down .,5,1
minister,dance,"He proposed what ministers in many countries have only danced around -- movement toward a global fixed-rate system , possibly linked to gold .",9,1
company,dance,"Mr. McMillin doubts a rash of food takeovers will occur , because many companies already are dancing to Wall Street 's tune .",16,1
hiccup,destroy,`` Any company in this market that hiccups is just destroyed .,11,1
job,destroy,"The two-year-old program designed principally to stem soil erosion is reducing American exports , destroying jobs , and squandering billions of dollars on a pseudo-problem .",18,1
business,destroy,"Claiborne says in the complaint that Avon 's failure to meet its obligations for the `` crucial 1988 Fall Christmas seasons , which together account for over 70 % of annual sales , '' would `` irreparably harm and likely destroy the business . ''",42,1
civilization,destroy,"`` The Jew and the bank now dominate everything: Europe and enlightenment , the whole civilization and socialism -- especially socialism , for with its help the Jew will eradicate Christianity and destroy the Christian civilization . ''",34,1
morale,destroy,"`` If Roger had purposely set out to destroy all morale in what was once the most confident and secure company going , he could n't have done a better job , '' Mr. Lee quotes an unnamed GM executive .",9,1
egg,destroy,"After a recent Barron 's magazine article about the fund 's woes , Kenneth Edlund , a Delmar , N.Y . , investor , groused in a letter to the publication 's editor that for five years he `` watched in disbelief as , during the great secular bull market , David Baker destroyed my young son 's $ 17 , 000 college nest egg . ''",54,1
economy,destroy,"In any event , Mr. Dhlomo understands better than do most U.S. congressmen that if the South African economy is destroyed by sanctions , so , too , will be the prospects for revolutionary , or even evolutionary , change .",20,1
bid,destroy,"One man who felt the brunt of Mr. Atwater 's tactics is liberal Thomas Turnipseed , whose bid for Congress was effectively destroyed when Mr. Atwater surreptitiously revived a three-year-old story about the Democrat 's psychiatric treatment for depression as a young man .",22,1
company,destroy,"`` It would be much too much to say this will destroy either the parent company or {Cosmos} , '' says Dan Nielsen , an analyst with SBCI Securities -LRB- Asia -RRB- Ltd .",12,1
administration,destroy,Public reaction to this melodrama nearly destroyed the administration and solidified the belief that no moderates existed in Iran .,6,1
initiative,destroy,"Finally , that act would streamline procedures , allowing states to set or change individual permits without needless EPA review ; EPA to issue targeted requirements rather than comprehensive federal cleanup plans that destroy local initiatives ; and enforcement to become both swifter and fairer through self-executing citations reviewed by expert administrative law judges , not cases pursued in hundreds of backlogged district courts .",33,1
image,destroy,And the Australians felt they could tinker with their beer without destroying that image .,11,1
deal,destroy,"Weeks later , `` Penthouse finally realized that Dominion was intentionally destroying the deal , '' sought other financing , failed , and had to abandon the project , the judge said .",12,1
plan,destroy,"Pace Industries Inc. was in the process of selling its Rheem Manufacturing Co. unit , a maker of water heaters , when the stock market collapsed last year and destroyed the buyer 's financing plans .",29,1
hope,destroy,"Astrotech went into a deep tailspin two years ago , officials say , with the explosion of the Space Shuttle Challenger , which destroyed hopes of near-term commercial space travel .",23,1
value,destroy,"The point of view of the economist here misses the essential by being too technical , namely that the values associated with a free-market economy can be destroyed by the tax system .",29,1
pursuit,destroy,"Indeed , the unrelieved pursuit of sales growth for its own sake , far from creating value , often destroys it .",19,1
labor,destroy,`` This case is the next logical step in our efforts to put a halt to Lorenzo 's oppressive and unlawful campaign to destroy organized labor at Eastern . '',24,1
virus,destroy,There is n't any indication that it could destroy the AIDS virus itself .,8,1
industry,destroy,"`` We do n't need the government trying to destroy the industry because of a few bad apples , '' says David L. Ganz , an ANA board member and a lawyer for some coin dealers .",10,1
company,destroy,"The plan to make Apple into a consumer marketing giant , orchestrated by both Mr. Sculley and Mr. Jobs , was pure lunacy and nearly destroyed the company .",25,1
frame,destroy,Judges thus destroyed the time frame used in assessing risk .,2,1
man,destroy,"The press release for an upcoming miniseries describes Nina , its heroine , as `` a manipulative woman determined to love and , if need be , destroy the men in her life . ''",28,1
economy,target,"Traditions die hard , and the Fed has n't shaken its habit of targeting the real economy -- under the notion that inflation , too much money chasing too few goods , is prevented by curtailing the production of goods .",13,1
bunch,stir,"Jack Scowen , a Conservative member of parliament from northern Saskatchewan , said that `` unless somebody wants to stir up a bunch of garbage , '' the language issue should be `` left to die . ''",20,1
agreement,dissolve,Puma spokesman Uto Duethorn said Mr. Becker and Puma mutually agreed to dissolve the agreement this month .,12,1
church,dissolve,The Ukrainian Autocephalous Orthodox Church was formally dissolved by Moscow in January 1930 .,7,1
company,dissolve,"`` Of course , the bondholders will have to ask: Is dissolving the company better than reorganization ? ''",13,1
company,dissolve,Tennis Lady said that after the sale it expects to `` dissolve the company or invest in new businesses . '',12,1
objection,dissolve,"He acknowledges that some will see this as a threat to freedom , but he soothes: `` Liberation , however , comes in various forms , either by overthrowing the external compulsion or dissolving the inward objection through a change of will , through sublimation . ''",35,1
injunction,dissolve,"The lower court had enjoined the effect of its decision , pending the appeal , but the appeals court dissolved the injunction .",19,1
group,dissolve,"Afterward , Enrique `` Quique '' Galarza , Cojunto 's lively , goateed , 40-ish lead singer , explained that he and his colleagues recently dissolved a pre-existing group and started Cojunto , so they do n't have any home turf dates either .",28,1
company,dissolve,"Yet when Mr. Blackwell asked Ms. Pfeiffer to relinquish her title to Cary Brokaw , the man she 'd hired to run marketing and distribution , she preferred to see the company dissolve .",32,1
board,dissolve,"The Suez group has said it will dissolve the Belgian company 's current 23-member board and create a two-tier management , with a chief executive running day-to-day operations and a management committee that defines strategy .",7,1
company,dissolve,"Last week after months of litigation , the company was dissolved , and the trademark was sold for $ 8 million to a Stamford , Conn . , investment firm .",10,1
parliament,dissolve,Mitterrand dissolved parliament Saturday .,1,1
ugliness,dissolve,"Most American cities show to their best advantage when seen from a height or a distance , at a point where the ugliness of the buildings dissolves into the beauty of an abstraction .",26,1
partner,dissolve,"Jamie Securities Inc . , once one of Wall Street 's most powerful arbitrage firms , is dissolving because of the continuing legal problems of John A. Mulheren Jr . , its managing partner arrested for allegedly threatening to kill insider trader Ivan F. Boesky .",17,1
agreement,dissolve,"That agreement was dissolved after a regulatory challenge , but Seagram ultimately won Martell with an offer valuing the company at 5.25 billion French francs -LRB- $ 820.6 million -RRB- .",3,1
agency,dissolve,Haiti dissolved an agency that administered major development projects .,1,1
partnership,dissolve,"In May , Pinnacle said the partnership between SunCor and Mr. Diddy had been `` dissolved '' so that SunCor could control development of the property that the partnership had acquired , but Pinnacle did n't give further details of his departure .",16,1
facility,dissolve,"The remaining members have agreed to dissolve the facility , though they say they may form a new , smaller claims agency .",6,1
partnership,dissolve,"The partnership was dissolved so that SunCor `` could directly and completely control the development '' of nearly 2 , 000 acres of property the partnership had purchased .",3,1
parliament,dissolve,"If not , Mr. Mitterrand would dissolve parliament and call new elections .",6,1
injunction,dissolve,The announcement Friday follows a court ruling earlier last week dissolving a preliminary injunction that had prevented the IRS from taking such action .,10,1
marriage,dissolve,Mr. Stambaugh then moved to Florida and filed for divorce there ; a Florida circuit court dissolved the marriage but left the financial settlement to be determined elsewhere because the couple 's principal assets were Pennsylvania real estate .,16,1
demarcation,dissolve,But a union-company panel later reviewed the pay of workers whose responsibilities had changed as job demarcations dissolved .,19,1
accord,dissolve,A merger accord between Braniff and Pan Am was dissolved after Braniff failed to get sufficient cost concessions from Pan Am unions .,9,1
marriage,dissolve,"In general , though , as long as the spouse who filed for divorce is a bona fide resident of the state that grants the divorce , the state `` where the marriage is dissolved is where the law -LRB- on financial settlement -RRB- applies , '' says Ms. Gold-Bikin .",35,1
parliament,dissolve,But Mr. Mitterrand has said he would n't dissolve parliament and call new elections unless it voted down his government .,8,1
agreement,dissolve,"If Mr. Icahn is successful in dissolving that agreement , he could seek Pennzoil 's support for his plan , which , like Texaco 's plan , includes a $ 3 billion settlement .",6,1
gold,drag,"`` As a result , gold and silver were dragged down more by platinum than by crude oil , '' he said .",10,1
essay,drag,"Every four years we can count on a presidential election , the Olympics , and Mr. Schlesinger dragging out his tired old essay on why he does n't like the electoral college .",17,1
growth,drag,"That in turn will help drag down growth next year , it adds .",5,1
price,drag,"If the June deficit turns out to have been significantly wider than in May , many analysts expect the dollar to drop sharply and to drag bond prices down with it .",25,1
earning,drag,"While broadcasting revenue increased 9 % in the quarter , earnings were dragged down by weak national sales and Gannett 's investment in GTG Entertainment , a new TV production company headed by Grant Tinker .",12,1
talk,drag,A recently proposed credit for Ecuador has yet to be completed and Brazil 's bank debt talks have dragged on for weeks longer than expected .,18,1
negotiation,drag,"Yesterday , Wall Street analysts said they expect the state-Lilco negotiations to drag on for perhaps another three to four months .",14,1
talk,drag,The U.S. side was angry that talks were dragging .,8,1
group,drag,"And while profits are booming at Capital Cities ' TV stations , ABC 's loss dragged down the broadcast group .",15,1
price,drag,"But yesterday it was a dollar-boosting dispatch from a Japanese news service that was primarily responsible for dragging precious metals prices back down , analysts said .",19,1
stock,drag,Failure to pull off the buy-back can only add to problems that have dragged Home Shopping 's stock down from a peak of $ 47 a share in January 1987 and left management with credibility problems .,15,1
foot,drag,"`` Things are really rapidly falling into place , '' said a Navy official who previously had complained that the Pentagon brass was dragging its feet on the project .",24,1
crisis,drag,The international debt crisis will drag on .,5,1
investigation,drag,"Mr. Bluey 's job is difficult because accounting investigations , unlike insider-trading cases , can drag on and draw little fanfare .",17,1
people,believe,"`` Most people can not believe that in the late 1980s this racist stereotype is still in existence anywhere , '' says Dara Demmings , an Interfaith Center executive , who says the company is dragging its feet .",6,1
foot,drag,Cautious bureaucrats drag their feet while progressive colleagues and scientists urge reform .,2,1
dispute,drag,"But as the dispute over Nagorno-Karabakh has dragged on , the mood here has grown increasingly anti-Russian .",9,1
cigarette,drag,"They never say excuse me , '' says Jacqueline Yun , a crop-haired Korean-American , as she drags on a cigarette .",21,1
heel,drag,"`` Advertisers are expected to drag their heels a little bit -LRB- now -RRB- , arguing that , hey , there just are n't that many eyeballs out there . ''",6,1
people,drag,"`` We wanted an arresting headline that would drag people into the body copy , '' says Tambrands spokesman Paul Konney .",9,1
foot,drag,An Aer Lingus spokesman claimed Italy is dragging its feet because Alitalia plans to start flights between Milan and Manchester this month .,7,1
realism,drown,Realism might drown it .,2,1
message,drown,"Here in Ohio , some Democrats worry that Mr. Bush 's dismissal of his opponent as a Massachusetts liberal may drown out the Democrat 's message on the economy .",20,1
day,drown,"Meanwhile , GOP nominee George Bush 's day was largely drowned out by union shipyard hecklers at a marine ironworks plant in Portland , Ore .",10,1
rippling,drown,A rippling of boos at the introduction of Mr. Bentsen was drowned out by organ music .,11,1
publicity,drown,"Especially for Sen. Gore , who must worry that all the publicity enjoyed by the winners in Iowa and New Hampshire could all but drown him out .",24,1
borrower,drown,"`` By lending for reckless deals , some lenders are helping the borrowers drown themselves , '' asserts Dean Dickie , an attorney specializing in bankruptcy law .",14,1
profit,eat,The commissions would eat up my profits . '',3,1
consumption,eat,"Domestic private consumption has been eating up about $ 3 billion or more a year , even during the war .",5,1
controversy,escape,But Mr. Quayle ca n't seem to escape controversy .,7,1
disaster,escape,"Baby hilariously escapes disaster , over and over , as the camera whips around at a hyperanimated pace .",2,1
reliance,escape,"All agree that the state must diversify its industrial base to escape the recently detrimental reliance on oil , said Ron Jones , chairman of the New Orleans Business Council and president of Louisiana Coca Cola Bottling Ltd .",11,1
trap,escape,"Kimberlon , the costume maker , tried generic packaging to escape the seasonal trap , even eliminating the word Halloween .",10,1
liability,escape,"However , in her 17-page dissent , federal Judge Carolyn Dineen King said the case raised sensitive issues of international law but that `` U.S. employers should not be allowed to escape liability for discrimination by cloaking themselves in a conveniently acquired concern for the integrity of the sovereignty of foreign states . ''",34,1
driver,escape,"At the same time , the quest for distinction increasingly includes details -- some of which may escape the average driver .",17,1
flame,escape,"One clue will be that the Idaho fescue , blue bunch wheat grass and pine grass growing in fields where fire returned nutrients to the soil will be as much as a foot taller than the meadows that escaped the flames .",38,1
family,escape,Young Jean escaped her family into literature and into a fast crowd she found at the University of Colorado .,2,1
notice,escape,"Adm. Hayward 's case , which has escaped public notice since it started in 1985 , is n't part of the current nationwide investigation of Pentagon corruption and bid-rigging .",7,1
liability,escape,The arrangement would break new legal ground as a means for an insurer to escape its own potential liability by piggybacking on the Chapter 11 reorganization of a former policyholder .,14,1
sanction,escape,An owner can escape the sanction only by demonstrating that he neither knew nor had reason to know that any drugs were on the conveyance .,3,1
crop,escape,"Among other things , the recently planted soybean and corn crop in the Midwest could escape unscathed if rains return shortly .",15,1
tax,escape,CO-OPS CONVERTING to condominiums can escape a tax on assets .,7,1
takeover,escape,"Last summer , escaping an unwanted takeover , USG effected a leveraged recapitalization .",3,1
welfare,escape,Your Sept. 22 editorial `` The Liberal Plantation '' hangs on a badly flawed premise: that workfare can lead to `` steady work '' and help poor people `` escape welfare and lead independent lives . '',33,1
stigma,escape,"He also refused both domestic and U.S. calls to step aside for a compromise plebiscite candidate , who might have benefited from Chile 's economic boom while escaping the stigma of the Pinochet regime 's appalling humanrights record .",27,1
quota,escape,"Among the problems that can be addressed , and perhaps resolved , at the joint session is the output currently escaping OPEC 's quotas .",20,1
effect,escape,"Both France and Italy want to escape the slow-growth effects of Bundesbank dominance of the EMS. West Germans , however , believes it is they that must adapt by showing a greater willingness to employ restrictive monetary and fiscal policies when these are needed to maintain currency stability .",6,1
taxation,escape,"The study of 250 of the nation 's largest profit-making corporations found that only 16 escaped taxation last year , compared with 40 in 1986 and 39 in 1985 .",17,1
vortex,escape,"Ne Win , however , saw that Burma escaped the Vietnam vortex .",8,1
